id,node_id,x,y,label,number,weight,guardian,triad,hexagram,type,dormant
0,C01,50.0,50.0,Nexus,0,1.0,Ouroboros,Alpha,I - Creative,central,false
1,P01,30.0,5.0,Rebirth,1,0.8,Phoenix,Alpha,II - Receptive,cluster,false
2,P02,42.99,12.5,Ignition,2,0.6,Phoenix,Alpha,III - Difficulty,cluster,false
3,P03,42.99,27.5,Ember,3,0.5,Phoenix,Alpha,IV - Youthful Folly,cluster,false
4,P04,30.0,35.0,Ascent,4,0.7,Phoenix,Beta,V - Waiting,cluster,false
5,P05,17.01,27.5,Corona,5,0.9,Phoenix,Beta,VI - Conflict,cluster,false
6,P06,17.01,12.5,Zenith,6,1.0,Phoenix,Beta,VII - Army,cluster,false
7,D01,75.0,8.0,Scale,7,0.7,Dragon,Gamma,VIII - Holding Together,cluster,false
8,D02,87.12,15.0,Fang,8,0.5,Dragon,Gamma,IX - Small Taming,cluster,false
9,D03,87.12,29.0,Coil,9,0.6,Dragon,Gamma,X - Treading,cluster,false
10,D04,75.0,36.0,Wing,10,0.8,Dragon,Delta,XI - Peace,cluster,false
11,D05,62.88,29.0,Breath,11,0.9,Dragon,Delta,XII - Standstill,cluster,false
12,D06,62.88,15.0,Crown,12,1.0,Dragon,Delta,XIII - Fellowship,cluster,false
13,L01,85.0,42.0,Mane,13,0.6,Lion,Epsilon,XIV - Great Possession,cluster,false
14,L02,96.26,48.5,Roar,14,0.5,Lion,Epsilon,XV - Modesty,cluster,false
15,L03,96.26,61.5,Stride,15,0.7,Lion,Epsilon,XVI - Enthusiasm,cluster,false
16,L04,85.0,68.0,Pride,16,0.8,Lion,Zeta,I - Creative,cluster,false
17,L05,73.74,61.5,Heart,17,0.9,Lion,Zeta,II - Receptive,cluster,false
18,L06,73.74,48.5,Throne,18,1.0,Lion,Zeta,III - Difficulty,cluster,false
19,R01,70.0,68.0,Feather,19,0.5,Raven,Eta,IV - Youthful Folly,cluster,false
20,R02,82.12,75.0,Eye,20,0.6,Raven,Eta,V - Waiting,cluster,false
21,R03,82.12,89.0,Call,21,0.7,Raven,Eta,VI - Conflict,cluster,false
22,R04,70.0,96.0,Shadow,22,0.8,Raven,Theta,VII - Army,cluster,false
23,R05,57.88,89.0,Flight,23,0.9,Raven,Theta,VIII - Holding Together,cluster,false
24,R06,57.88,75.0,Oracle,24,1.0,Raven,Theta,IX - Small Taming,cluster,false
25,B01,25.0,65.0,Cocoon,25,0.4,Butterfly,Iota,X - Treading,cluster,false
26,B02,36.26,71.5,Wing-Left,26,0.5,Butterfly,Iota,XI - Peace,cluster,false
27,B03,36.26,84.5,Wing-Right,27,0.6,Butterfly,Iota,XII - Standstill,cluster,false
28,B04,25.0,91.0,Spiral,28,0.7,Butterfly,Kappa,XIII - Fellowship,cluster,false
29,B05,13.74,84.5,Bloom,29,0.8,Butterfly,Kappa,XIV - Great Possession,cluster,false
30,B06,13.74,71.5,Luminance,30,1.0,Butterfly,Kappa,XV - Modesty,cluster,false
31,N01,80.0,50.0,Meridian,31,0.3,Phoenix,Lambda,XVI - Enthusiasm,generic,false
32,N02,87.42,56.6,Threshold,32,0.37,Dragon,Lambda,I - Creative,generic,false
33,N03,93.23,65.73,Echo,33,0.44,Lion,Lambda,II - Receptive,generic,false
34,N04,75.98,65.0,Pulse,34,0.51,Raven,Mu,III - Difficulty,generic,false
35,N05,79.11,74.43,Drift,35,0.58,Butterfly,Mu,IV - Youthful Folly,generic,false
36,N06,79.57,85.24,Veil,36,0.65,Ouroboros,Mu,V - Waiting,generic,false
37,N07,65.0,75.98,Arc,37,0.72,Phoenix,Nu,VI - Conflict,generic,false
38,N08,63.0,85.71,Fulcrum,38,0.79,Dragon,Nu,VII - Army,generic,true
39,N09,57.99,95.3,Shard,39,0.86,Lion,Nu,VIII - Holding Together,generic,false
40,N10,50.0,80.0,Ripple,40,0.93,Raven,Xi,IX - Small Taming,generic,false
41,N11,43.4,87.42,Gate,41,0.3,Butterfly,Xi,X - Treading,generic,false
42,N12,34.27,93.23,Sigil,42,0.37,Ouroboros,Xi,XI - Peace,generic,false
43,N13,35.0,75.98,Lattice,43,0.44,Phoenix,Omicron,XII - Standstill,generic,false
44,N14,25.57,79.11,Mirror,44,0.51,Dragon,Omicron,XIII - Fellowship,generic,false
45,N15,14.76,79.57,Prism,45,0.58,Lion,Omicron,XIV - Great Possession,generic,false
46,N16,24.02,65.0,Anchor,46,0.65,Raven,Pi,XV - Modesty,generic,true
47,N17,14.29,63.0,Tide,47,0.72,Butterfly,Pi,XVI - Enthusiasm,generic,false
48,N18,4.7,57.99,Spark,48,0.79,Ouroboros,Pi,I - Creative,generic,false
49,N19,20.0,50.0,Haze,49,0.86,Phoenix,Rho,II - Receptive,generic,false
